TypeId: 16384 (#4000) UCAPI_DRIVER
TypeId: 16385 (#4001) UCAPI_CAMERA
TypeId: 16386 (#4002) UCAPI_CAMERA_SENSOR
IID: 16384 (#4000) ImageAcquisition
IID: 16385 (#4001) ImageSequenceAcquisition
IID: 16386 (#4002) AcquisitionInformation
IID: 16387 (#4003) ImageFormatInformation
IID: 16388 (#4004) OneShotWhiteBalance
IID: 16389 (#4005) WhiteShadingReferenceCreator
IID: 16390 (#4006) OneShotBlackBalance
IID: 16391 (#4007) PropertyDependencyInformation
enum IMAGE_VALIDATION_STATE: 2 (#2) IMAGE_VALIDATION_STATE_Y_MOVING
enum IMAGE_VALIDATION_STATE: 4 (#4) IMAGE_VALIDATION_STATE_Z_MOVING
enum IMAGE_VALIDATION_STATE: 8 (#8) IMAGE_VALIDATION_STATE_ZOOM_MOVING
enum IMAGE_VALIDATION_STATE: 16 (#10) IMAGE_VALIDATION_STATE_TILT_MOVING
enum IMAGE_VALIDATION_STATE: 32 (#20) IMAGE_VALIDATION_STATE_ANGLE_MOVING
enum IMAGE_VALIDATION_STATE: 64 (#40) IMAGE_VALIDATION_STATE_SHUTTER_CLOSED
enum IMAGE_VALIDATION_STATE: 128 (#80) IMAGE_VALIDATION_STATE_AE_RUNNING
enum IMAGE_VALIDATION_STATE: 256 (#100) IMAGE_VALIDATION_STATE_AWB_RUNNING
enum IMAGE_VALIDATION_STATE: 512 (#200) IMAGE_VALIDATION_STATE_COUNTER_HARDWAREMOTION
enum IMAGE_VALIDATION_STATE: 1024 (#400) IMAGE_VALIDATION_STATE_COUNTER_3A
enum IMAGE_VALIDATION_STATE: 2048 (#800) IMAGE_VALIDATION_STATE_COUNTER_HDR_ROLLING
enum IMAGE_VALIDATION_STATE: 4096 (#1000) IMAGE_VALIDATION_STATE_COUNTER_HDR_WAIT_MIC
enum PIXEL_ALIGNMENT: 0 (#0) PIXEL_ALIGNMENT_NONE
enum PIXEL_ALIGNMENT: 1 (#1) PIXEL_ALIGNMENT_LOW_BITS
enum PIXEL_ALIGNMENT: 2 (#2) PIXEL_ALIGNMENT_HIGH_BITS
link Property ID: 16430 (#402e) PROP_ACQUISITION_MODE -> ACQUISITION_MODE
link Property ID: 16410 (#401a) PROP_BINNING_LEVEL -> BINNING_LEVEL
link Property ID: 16456 (#4048) PROP_EMCCD_MODE -> EMCCD_MODE
link Property ID: 16474 (#405a) PROP_ENHANCED_ACQUISITION_MODE -> ENHANCED_ACQUISITION_MODE
link Property ID: 16476 (#405c) PROP_HDR_CONTRAST -> HDR_CONTRAST
link Property ID: 16475 (#405b) PROP_HDR_MODE -> HDR_MODE
link Property ID: 16426 (#402a) PROP_IMAGE_AVERAGING_MODE -> IMAGE_AVERAGING_MODE
link Property ID: 16397 (#400d) PROP_IMAGE_TRIGGER_MODE -> IMAGE_TRIGGER_MODE
link Property ID: 16479 (#405f) PROP_MULTI_TAP_READOUT_SELECTOR -> MULTI_TAP_READOUT_SELECTOR
link Property ID: 16414 (#401e) PROP_PIXEL_TYPE -> PIXEL_TYPE
link Property ID: 16398 (#400e) PROP_TRIGGER_POLARITY -> TRIGGER_POLARITY
link Property ID: 16482 (#4062) PROP_PIXEL_ALIGNMENT -> PIXEL_ALIGNMENT
Property ID: 19968 (#4e00) PROP_TRIGGER_DELAY_TIME unofficial
Property ID: 19969 (#4e01) PROP_EMGAIN_CALIBRATION_ENABLED unofficial
Property ID: 19970 (#4e02) PROP_VERTICAL_LINE_INTERVAL unofficial
Property ID: 19971 (#4e03) PROP_ROLLING_SHUTTER_SIZE unofficial
Property ID: 19972 (#4e04) PROP_ACQUISITION_START_DELAY unofficial
